Name	Species
human1	Human
human2	Human
human3	Human
human4	Human
human5	Human
human6	Human
human7	Human
human8	Human
human9	Human
human10	Human
human11	Human
human12	Human
human13	Human
human14	Human
human15	Human
human16	Human
human17	Human
human18	Human
human19	Human
human20	Human
human21	Human
human22	Human
human23	Human
human24	Human
human25	Human
human26	Human
human27	Human
human28	Human
human29	Human
human30	Human
human31	Human
human32	Human
human33	Human
human34	Human
human35	Human
human36	Human
human37	Human
human38	Human
human39	Human
human40	Human
human41	Human
human42	Human
human43	Human
human44	Human
human45	Human
human46	Human
human47	Human
human48	Human
human49	Human
chimp1	Chimpanzee
chimp2	Chimpanzee
chimp3	Chimpanzee
chimp4	Chimpanzee
chimp5	Chimpanzee
chimp6	Chimpanzee
chimp7	Chimpanzee
chimp8	Chimpanzee
chimp9	Chimpanzee
chimp10	Chimpanzee
chimp11	Chimpanzee
chimp12	Chimpanzee
chimp13	Chimpanzee
chimp14	Chimpanzee
chimp15	Chimpanzee
chimp16	Chimpanzee
chimp17	Chimpanzee
chimp18	Chimpanzee
chimp19	Chimpanzee
chimp20	Chimpanzee
chimp21	Chimpanzee
chimp22	Chimpanzee
chimp23	Chimpanzee
chimp24	Chimpanzee
chimp25	Chimpanzee
chimp26	Chimpanzee
chimp27	Chimpanzee
chimp28	Chimpanzee
chimp29	Chimpanzee
chimp30	Chimpanzee
chimp31	Chimpanzee
chimp32	Chimpanzee
chimp33	Chimpanzee
chimp34	Chimpanzee
chimp35	Chimpanzee
chimp36	Chimpanzee
chimp37	Chimpanzee
chimp38	Chimpanzee
chimp39	Chimpanzee
